,Date,User,Tweet
0,2022-09-15 15:55:27+00:00,elonmusk,@GailAlfarATX @Tesla @aelluswamy Beta expanding to safety scores above 80 after 10.69.2.1 goes out
1,2022-09-15 15:50:07+00:00,elonmusk,"@GailAlfarATX @Tesla @aelluswamy 10.69.2.1 coming out in a few days with additional polish, 10.69.3 comes out shortly after AI Day"
2,2022-09-15 00:23:04+00:00,elonmusk,@ilyasut or their short shorts https://t.co/Ek4Xby92ga
3,2022-09-14 07:38:04+00:00,elonmusk,"Salted butter is amazing, but should be stored at room temperature https://t.co/8RSr340JB8"
4,2022-09-14 07:28:10+00:00,elonmusk,@corey_aronson @CathieDWood Drop 0.25%
5,2022-09-14 07:17:09+00:00,elonmusk,"@CathieDWood Exactly, this is neither subtle nor secret"
6,2022-09-14 04:05:18+00:00,elonmusk,"@WholeMarsBlog Layers upon layers of neural nets, ever higher"
7,2022-09-14 03:57:18+00:00,elonmusk,https://t.co/xMoL9wdXh6
8,2022-09-13 23:46:29+00:00,elonmusk,@HuobiGlobal Subtle 🤣
9,2022-09-13 23:41:08+00:00,elonmusk,@HuobiGlobal 🤣
10,2022-09-13 23:05:40+00:00,elonmusk,"Note, we are working on making the whistle sound much louder"
11,2022-09-13 23:04:03+00:00,elonmusk,But u have to pay in Doge
12,2022-09-13 23:02:37+00:00,elonmusk,"Blow the whistle!
https://t.co/RQLDti0ULZ"
13,2022-09-13 20:53:56+00:00,elonmusk,@chrissyfarr True
14,2022-09-13 20:12:26+00:00,elonmusk,@kimbal Could be worse
15,2022-09-13 19:32:33+00:00,elonmusk,@prasad_s7 @JGrupe @Tesla @SawyerMerritt @DirtyTesLa Fair point
16,2022-09-13 19:30:31+00:00,elonmusk,@spideycyp_155 🤣👍
17,2022-09-13 19:26:55+00:00,elonmusk,@andst7 Good thread
18,2022-09-13 18:49:25+00:00,elonmusk,https://t.co/qjjDVyOszp
19,2022-09-13 18:48:18+00:00,elonmusk,@TaraBull808 Sounds pretty bad
20,2022-09-13 18:07:16+00:00,elonmusk,"Please fix @twitter, @verified, @paraga"
21,2022-09-13 18:05:36+00:00,elonmusk,My tweets are being suppressed!
22,2022-09-13 17:59:03+00:00,elonmusk,@ajtourville 🤣
23,2022-09-13 17:55:46+00:00,elonmusk,"This says it all:
“None of the members of the Stripe chat who spoke with me said that they accepted payment or agreed to speak to the firms about Zatko, and all said they wished to defend his credibility.”"
24,2022-09-13 17:45:44+00:00,elonmusk,Anyone know who the secret clients are? Let’s out them on Twitter rn haha. https://t.co/g8D1mQZLRv
25,2022-09-13 17:11:58+00:00,elonmusk,@JohnArnoldFndtn Absolutely
26,2022-09-13 16:56:48+00:00,elonmusk,@JGrupe @Tesla @SawyerMerritt @DirtyTesLa True
27,2022-09-13 16:56:16+00:00,elonmusk,@TeslaHype I’m testing it today in Palo Alto
28,2022-09-13 16:51:22+00:00,elonmusk,Rome show is underappreciated https://t.co/oqd3B6O5Mw
29,2022-09-13 16:42:49+00:00,elonmusk,"@Tesmanian_com This was harder than reaching volume production, which was insanely hard"
30,2022-09-13 14:48:08+00:00,elonmusk,🍿
31,2022-09-13 01:59:35+00:00,elonmusk,@HardcoreHistory There is appetite for an infinite number of interesting tweets
32,2022-09-13 01:57:42+00:00,elonmusk,@BillyM2k 🤣
33,2022-09-13 00:16:11+00:00,elonmusk,Take a moment to … https://t.co/R3hK5u4UW6
34,2022-09-12 22:19:11+00:00,elonmusk,The residual value of gasoline cars bought today will be much lower than people think
35,2022-09-12 22:13:56+00:00,elonmusk,@EvaFoxU Supercharger centers with solar &amp; batteries are the long-term vision
36,2022-09-12 20:07:08+00:00,elonmusk,Won’t be long before we view gasoline cars the same way we view steam engines today
37,2022-09-12 19:45:34+00:00,elonmusk,@TrimontiumTrust @HardcoreHistory Socrates can be a little boring tbh
38,2022-09-12 17:50:09+00:00,elonmusk,@ICannot_Enough @ilyasut Yes
39,2022-09-12 17:44:52+00:00,elonmusk,"@ilyasut Our view of reality is always wrong, just a question of how wrong"
40,2022-09-12 05:44:11+00:00,elonmusk,@teslaownersSV @cb_doge @Tesla @mayemusk I guess we could make Joe mode quieter
41,2022-09-12 05:43:02+00:00,elonmusk,"@cb_doge @Tesla @mayemusk Still doing same thing, but bigger"
42,2022-09-12 04:19:57+00:00,elonmusk,Looks good to roll out to all Tesla owners with 10.12.2 (~100k cars)!
43,2022-09-12 03:25:03+00:00,elonmusk,@Tesla__Mania @WholeMarsBlog That is probably the right order of magnitude
44,2022-09-12 01:48:49+00:00,elonmusk,@WholeMarsBlog Real-world validation &amp; billions of miles of real-world training are what will make FSD superhuman
45,2022-09-12 01:20:59+00:00,elonmusk,@Teslarati @JohnnaCrider1 Yup
46,2022-09-11 21:34:12+00:00,elonmusk,@cb_doge @paraga Sigh
47,2022-09-11 21:31:34+00:00,elonmusk,"FSD Beta 10.69.2 rolling out now. Please note that top priority is safety, so expect it to be overly cautious, especially around pedestrians."
48,2022-09-11 03:00:14+00:00,elonmusk,Falcon arching to orbit https://t.co/m7grug8FV9
49,2022-09-11 02:29:13+00:00,elonmusk,No obvious limit to rocket reflight so far https://t.co/rBrcyjxJea
